index,province,spot,height,belongs,lat,lon,baidu_pedia_len
1,西藏自治区,珠穆朗玛峰,8848.86,喜马拉雅山脉,27.9887261,86.92501796,26881
2,新疆维吾尔自治区,乔戈里峰,8611,喀喇昆仑山脉,35.88469297,76.51360328,41404
3,四川省,贡嘎山,7508.9,横断山脉,29.595223,101.876924,47788
4,青海省,布喀达坂峰,6860,昆仑山脉,36.03019433,90.86844551,54191
5,云南省,卡瓦格博峰,6740,横断山脉,28.43923814,98.68350491,56133
6,甘肃省,素珠链峰,5547,祁连山脉,39.32798726,93.85908937,52519
7,台湾省,玉山,3952,玉山山脉,23.47011248,120.9572893,133883
8,陕西省,太白山拔仙台,3767,秦岭,34,107.8,29302
9,宁夏回族自治区,敖包圪瘩,3556,贺兰山,38.9,106.2,33202
10,内蒙古自治区,敖包圪瘩,3556,贺兰山,38.9,106.2,20799
11,湖北省,神农顶,3106.2,大巴山,31.6,110.5,36887
12,山西省,五台山北台顶,3061,太行山脉,39,113.5,41470
13,贵州省,韭菜坪,2900.6,乌蒙山,26.9,104.7,39121
14,河北省,小五台山东台,2882,太行山脉,40,115.2,52881
15,重庆市,阴条岭,2796.8,梁子山,31.48480946,109.9371589,32566
16,吉林省,白云峰,2691,长白山脉,42,128.1,21140
17,河南省,老鸦岔垴,2413.8,秦岭,34.4,110.5,42751
18,北京市,东灵山,2303,燕山山脉,39.9,115.5,37261
19,福建省,黄岗山,2160.8,武夷山脉,27.8,117.6,29230
20,江西省,黄岗山,2160.8,武夷山脉,27.8,117.6,30887
21,广西壮族自治区,猫儿山,2141.5,南岭,25.9,110.4,38456
22,湖南省,酃峰,2115.2,罗霄山脉,26.3,114,42215
23,浙江省,黄茅尖,1929,武夷山脉,27.8,119.2,27909
24,广东省,石坑崆,1902,南岭,24.8,113.1,65760
25,安徽省,黄山莲花峰,1864.7,天目山,30.2,118.2,30548
26,海南省,五指山主峰,1867,五指山,18.9,109.7,48018
27,黑龙江省,大秃顶子山,1690,长白山脉,44.5,128.2,42764
28,山东省,泰山玉皇顶,1524,不适用,36.1,117.1,46793
29,辽宁省,岗山,1347,长白山脉,41.7,125.4,34792
30,天津市,九山顶,1078.5,不适用,40.2,117.5,29333
31,香港特别行政区,大帽山,957,不适用,22.42287552,114.3963333,28997
34,上海市,上海中心大厦,632,不适用,31.23361206,121.5055224,38286
32,江苏省,花果山玉女峰,624.4,不适用,34.6,119.6,38897
33,澳门特别行政区,澳门旅游塔,338,不适用,22.13781745,113.4712643,54117
